VIN,Year,Make,Model,Current price,Current price to market %,DOL,Mileage,Total VDPs (lifetime),Total sales opportunities (lifetime)
1C6JJTBG5ML584310,2021,JEEP,GLADIATOR,"$34,875 ",95%,77,"40,474",251,7
5TDABAB65SS013509,2025,LEXUS,TX,"$74,780 ",99%,60,0,65,0
JTJCHMAA4S2029462,2025,LEXUS,RX,"$59,934 ",104%,28,0,251,10
5XYADFS51TG013861,2026,KIA,EV9,"$72,995 ",109%,39,8,27,0
JTMEB3FV9RD207111,2024,TOYOTA,RAV4 PRIME,"$48,688 ",103%,55,"8,721",193,4
JTMBFREV1HJ116636,2017,TOYOTA,RAV4,"$16,588 ",100%,27,"90,247",270,0
1C4RJHDG1S8712094,2025,JEEP,GRAND CHEROKEE,"$54,545 ",93%,122,9,713,4
KMHLS4DG9SU878880,2025,HYUNDAI,ELANTRA,"$26,540 ",101%,375,11,272,0
1HGCY1F47SA062760,2025,HONDA,ACCORD SEDAN,"$32,165 ",102%,13,5,20,0
JTMEB3FV1SD285534,2025,TOYOTA,RAV4 PLUG-IN HYBRID,"$51,504 ",99%,11,0,13,0
7SVAAABA7TX42C835,2026,TOYOTA,SEQUOIA,"$87,768 ",105%,11,0,10,0
2HKRS3H72RH327617,2024,HONDA,CR-V,"$31,977 ",99%,25,"15,268",425,0
1C4PJXEG8SW651614,2025,JEEP,WRANGLER,"$52,915 ",95%,5,28,0,0
2T2GGCEZ2PC024959,2023,LEXUS,NX,"$42,588 ",102%,31,"18,515",206,4
1C4PJXDG2SW621042,2025,JEEP,WRANGLER,"$40,134 ",83%,101,30,156,0
2T3P1RFV0SW595174,2025,TOYOTA,RAV4,"$35,504 ",98%,43,8,6,0
7MUFBABG5TV094890,2026,TOYOTA,COROLLA CROSS,"$34,549 ",99%,43,8,11,0
JTDBCMFE1T3112173,2026,TOYOTA,COROLLA,"$26,079 ",95%,26,0,18,0
1C4SJVDP6SS533066,2025,JEEP,WAGONEER,"$84,700 ",109%,6,0,8,0
2T3WFREV4HW404170,2017,TOYOTA,RAV4,"$18,990 ",100%,8,"104,840",6,0
KNDNE5KA2T6092188,2026,KIA,CARNIVAL HYBRID,"$55,285 ",108%,69,8,46,2
4T1DAACK8TU41F422,2026,TOYOTA,CAMRY,"$30,514 ",87%,11,0,8,0
7FART6H87ME011438,2021,HONDA,CR-V HYBRID,"$27,986 ",94%,32,"28,212",287,0
1C4HJXDGXJW152110,2018,JEEP,WRANGLER UNLIMITED,"$22,877 ",93%,17,"60,105",225,0
KNDPVDDG5T7274921,2026,KIA,SPORTAGE HYBRID,"$36,342 ",100%,60,8,64,3
KNDNE5KAXT6095713,2026,KIA,CARNIVAL HYBRID,"$50,795 ",99%,60,8,34,4
KMHL54JJ8SA120120,2025,HYUNDAI,SONATA HYBRID,"$38,403 ",103%,166,11,147,0
5TDJSKFC4SS40C698,2025,TOYOTA,SIENNA,"$52,710 ",104%,32,0,4,0
2T3A1RFV3SW583400,2025,TOYOTA,RAV4,"$37,604 ",95%,75,8,28,0
WZ1DB0G00TW073440,2026,TOYOTA,GR SUPRA,"$64,640 ",96%,74,8,102,9
1C4RJKBG3S8756193,2025,JEEP,GRAND CHEROKEE L,"$50,730 ",101%,11,0,8,0
3GCUYDET0MG136201,2021,CHEVROLET,SILVERADO 1500,"$42,993 ",114%,61,"41,110",25,6
4T1DAACK6TU39G255,2026,TOYOTA,CAMRY,"$33,814 ",97%,26,0,17,0
KMHL34JJ7SA124813,2025,HYUNDAI,SONATA HYBRID,"$32,706 ",105%,174,10,146,0
5TDKDRAH3PS008560,2023,TOYOTA,HIGHLANDER,"$40,988 ",108%,22,"18,255",37,0
4T1DAACK0SU207626,2025,TOYOTA,CAMRY,"$32,504 ",95%,61,8,11,0
5FNYF9H88TB027730,2026,HONDA,PASSPORT,"$54,885 ",101%,40,5,84,0
JTDBCMFE0T3112911,2026,TOYOTA,COROLLA,"$26,079 ",95%,26,0,14,0
1C4RJXFG1SW647203,2025,JEEP,WRANGLER,"$75,080 ",110%,17,0,41,0
5TDZSKFC2SS38D670,2025,TOYOTA,SIENNA,"$57,755 ",102%,43,0,40,1
1C4RJGBG9SC361624,2025,JEEP,GRAND CHEROKEE,"$43,665 ",99%,10,0,14,0
1C4RJXDG2SW623978,2025,JEEP,WRANGLER,"$52,517 ",93%,19,286,60,1
3TMLB5JN9SM187463,2025,TOYOTA,TACOMA 4WD,"$43,194 ",94%,43,8,10,0
3C6LRVDG5SE543773,2025,RAM,PROMASTER CARGO VAN,"$52,786 ",104%,218,12,64,1
7MUDAABG7SV147078,2025,TOYOTA,COROLLA CROSS,"$31,159 ",93%,89,8,176,3
3TMDZ5BN9NM126505,2022,TOYOTA,TACOMA 4WD,"$32,877 ",91%,24,"62,324",198,1
4T1DAACK6SU645437,2025,TOYOTA,CAMRY,"$31,487 ",92%,61,8,22,0
5TFMC5DB5SX108495,2025,TOYOTA,TUNDRA 4WD,"$70,305 ",95%,136,8,185,3
2T3W1RFV8SC343329,2025,TOYOTA,RAV4,"$33,282 ",96%,75,8,100,0
JTDBCMFE0T3116179,2026,TOYOTA,COROLLA,"$27,214 ",99%,11,0,5,0
5TDAAAB61TS047662,2026,LEXUS,TX,"$71,470 ",106%,21,10,37,1
5XYAFFS51TG012137,2026,KIA,EV9,"$65,800 ",107%,37,8,21,2
JTMRWRFV5SJ078509,2025,TOYOTA,RAV4,"$37,154 ",99%,25,8,17,0
4T1DAACK9TU211756,2026,TOYOTA,CAMRY,"$30,514 ",87%,43,8,8,0
4T1DAACK3TU40F560,2026,TOYOTA,CAMRY,"$37,189 ",106%,26,0,24,0
5XYRKDLF0PG187222,2023,KIA,SORENTO,"$30,877 ",94%,32,"26,773",174,0
3GCUKFEL2SG287082,2025,CHEVROLET,SILVERADO 1500,"$62,490 ",95%,168,5,199,3
5NMP5DG16TH079118,2026,HYUNDAI,SANTA FE HYBRID,"$51,110 ",99%,40,9,22,0
5TDAAAB52SS103873,2025,TOYOTA,GRAND HIGHLANDER,"$41,333 ",76%,61,8,36,1
5TDABAB6XTS016147,2026,LEXUS,TX,"$76,398 ",100%,13,10,17,0
2T3P1RFV7SW41J218,2025,TOYOTA,RAV4,"$35,504 ",98%,11,0,8,0
1C4PJXDG4SW647190,2025,JEEP,WRANGLER,"$49,677 ",103%,27,28,28,0
1C6SRFLP9SN749564,2025,RAM,1500,"$55,542 ",87%,132,14,405,24
1C4PJXDG0SW633884,2025,JEEP,WRANGLER,"$45,895 ",95%,77,7,105,1
7MUFBABG4TV094587,2026,TOYOTA,COROLLA CROSS,"$36,789 ",105%,43,8,11,1
KNDPVCDG9S7239016,2025,KIA,SPORTAGE HYBRID,"$34,281 ",101%,116,8,96,1
4T1DAACK8TU42A605,2026,TOYOTA,CAMRY,"$33,814 ",97%,11,0,9,0
19XFL2H85SE031049,2025,HONDA,CIVIC HATCHBACK,"$28,600 ",101%,108,5,125,0
JTDKN3DP2E3056871,2014,TOYOTA,PRIUS PLUG-IN,"$16,988 ",99%,32,"48,107",93,4
JTDACAAJ2S3030840,2025,TOYOTA,CROWN SIGNIA,"$52,000 ",103%,11,0,25,0
5FNYG1H63SB163596,2025,HONDA,PILOT,"$51,830 ",103%,20,5,3,0
KNDPVCDG5S7262826,2025,KIA,SPORTAGE HYBRID,"$34,585 ",102%,94,8,88,0
4T1DAACK8SU207633,2025,TOYOTA,CAMRY,"$30,530 ",89%,61,8,11,0
3KPFT4DE2SE164617,2025,KIA,K4,"$22,957 ",97%,92,0,91,2
1C6PJTAG0SL533404,2025,JEEP,GLADIATOR,"$43,056 ",95%,76,30,80,3
KM8RGES23TU016880,2026,HYUNDAI,PALISADE,"$45,187 ",97%,58,15,82,0
3TMLB5JNXSM42D333,2025,TOYOTA,TACOMA 4WD,"$42,784 ",93%,11,0,9,0
2T3A1RFV7SW576305,2025,TOYOTA,RAV4,"$35,559 ",90%,87,8,297,3
1GT49WEY9LF163630,2020,GMC,SIERRA 3500HD,"$57,994 ",100%,39,"87,016",3,0
2HGFC2F53JH020161,2018,HONDA,CIVIC SEDAN,"$16,888 ",100%,29,"86,592",80,4
7FARS6H88TE020876,2026,HONDA,CR-V HYBRID,"$42,075 ",102%,53,5,22,0
4T1G31AK5NU571796,2022,TOYOTA,CAMRY,"$24,000 ",99%,70,"70,420",237,12
WDCTG4EB6JJ440367,2018,MERCEDES-BENZ,GLA,"$13,288 ",100%,36,"89,949",296,9
4T1DAACK6TU652650,2026,TOYOTA,CAMRY,"$30,514 ",87%,43,8,8,0
2C3CDZH97JH100283,2018,DODGE,CHALLENGER,"$112,500 ",110%,500,"8,116","4,598",32
1GCUKGED8SZ258393,2025,CHEVROLET,SILVERADO 1500,"$57,430 ",93%,131,6,186,7
JTDACACU7T3057282,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$34,549 ",88%,61,8,59,0
