VIN,Year,Make,Model,Current price,Current price to market %,DOL,Mileage,Total VDPs (lifetime),Total sales opportunities (lifetime)
JTDACACU9T3059681,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$39,289 ",100%,26,8,17,0
2C4RC1GG1NR158500,2022,CHRYSLER,PACIFICA,"$24,877 ",100%,18,"84,395",138,0
1C4PJXDG2SW544320,2025,JEEP,WRANGLER,"$47,090 ",97%,223,24,295,2
2T3P1RFV3SW41E170,2025,TOYOTA,RAV4,"$35,504 ",98%,11,0,8,0
1C6SRFJP7SN658005,2025,RAM,1500,"$61,504 ",97%,256,14,"1,811",6
5XYAEFS51TG016496,2026,KIA,EV9,"$77,290 ",100%,-,8,0,0
JF2GTHMC3M8270955,2021,SUBARU,CROSSTREK,"$23,388 ",94%,56,"30,768",140,4
2HKRW6H38KH220774,2019,HONDA,CR-V,"$20,986 ",96%,21,"46,025",272,0
JTMP1RFV7SD116133,2025,TOYOTA,RAV4,"$34,216 ",96%,75,8,183,2
2T3P1RFV2SW595838,2025,TOYOTA,RAV4,"$35,504 ",98%,43,8,5,0
5FNYF9H31TB030943,2026,HONDA,PASSPORT,"$46,700 ",101%,32,5,135,0
2T3P1RFV6SW39J107,2025,TOYOTA,RAV4,"$34,239 ",94%,26,0,16,0
JTMRWRFV8SJ078830,2025,TOYOTA,RAV4,"$38,079 ",101%,26,0,16,0
2HGFE1F94PH323479,2023,HONDA,CIVIC SEDAN,"$23,968 ",93%,71,"42,535",442,0
KMHLL4DG7SU026668,2025,HYUNDAI,ELANTRA,"$24,117 ",104%,111,11,235,0
2T3G1RFV6SC558468,2025,TOYOTA,RAV4,"$33,409 ",100%,61,8,12,0
5TDACAB51SS065434,2025,TOYOTA,GRAND HIGHLANDER,"$55,533 ",100%,61,8,16,5
1C4PJXDN3SW621999,2025,JEEP,WRANGLER,"$43,895 ",95%,112,29,291,6
KL79MRSL9TB022625,2026,CHEVROLET,TRAILBLAZER,"$30,765 ",104%,83,3,37,3
JTMAB3FV3SD285548,2025,TOYOTA,RAV4 PLUG-IN HYBRID,"$48,099 ",99%,11,0,8,0
2C4RC1BG4TR158625,2026,CHRYSLER,PACIFICA,"$40,730 ",91%,53,8,114,0
2T2BAMCA8SC120411,2025,LEXUS,RX,"$59,575 ",98%,14,10,15,0
7SVAAABA1TX072386,2026,TOYOTA,SEQUOIA,"$84,973 ",102%,75,8,34,0
2T2HKCEZ0TC058217,2026,LEXUS,NX,"$59,390 ",100%,27,5,13,0
3TMLB5JN2SM41E870,2025,TOYOTA,TACOMA 4WD,"$42,884 ",93%,11,0,8,0
JTJHKCFZ1S2072477,2025,LEXUS,NX,"$67,305 ",101%,39,7,36,1
3TYCZ5AN0NT059200,2022,TOYOTA,TACOMA 4WD,"$33,337 ",90%,77,"46,270",754,12
5TDKBRCH3SS685121,2025,TOYOTA,HIGHLANDER,"$50,428 ",98%,61,8,58,2
1C4RJKDG2S8753914,2025,JEEP,GRAND CHEROKEE L,"$65,730 ",110%,19,0,18,0
JTDACACU4T3061922,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$38,814 ",98%,11,0,4,0
5TDADAB53TS025838,2026,TOYOTA,GRAND HIGHLANDER,"$61,158 ",97%,43,8,79,0
4T3RWRFV3SU39H753,2025,TOYOTA,RAV4,"$35,889 ",95%,26,0,16,0
58AEA1C11SU073200,2025,LEXUS,ES,"$56,329 ",102%,55,3,116,6
3GCUKFE81TG107345,2026,CHEVROLET,SILVERADO 1500,"$62,770 ",94%,26,3,5,1
JHMZF1D63BS005080,2011,HONDA,CR-Z,"$9,677 ",100%,10,"118,326",118,2
1C4HJXEG1KW524840,2019,JEEP,WRANGLER UNLIMITED,"$21,877 ",100%,39,"99,080",264,2
1FMJU1J89SEA26200,2025,FORD,EXPEDITION,"$69,994 ",103%,14,"1,027",22,2
1C4SJVBP6SS533068,2025,JEEP,WAGONEER,"$80,770 ",110%,57,0,14,0
1C4PJXDG9SW544329,2025,JEEP,WRANGLER,"$50,880 ",105%,223,11,730,9
4T1DAACK7SU644197,2025,TOYOTA,CAMRY,"$31,064 ",91%,75,8,20,0
3GCUKDE81SG391983,2025,CHEVROLET,SILVERADO 1500,"$52,620 ",93%,63,3,49,1
JTDB4MEEXT3033485,2026,TOYOTA,COROLLA,"$24,704 ",100%,26,0,14,0
4T1DAACK7TU42A126,2026,TOYOTA,CAMRY,"$33,414 ",96%,11,0,8,0
1HGCY1F31PA018994,2023,HONDA,ACCORD SEDAN,"$25,388 ",103%,20,"52,882",35,2
3MYDLBYVXHY183155,2017,TOYOTA,YARIS IA,"$11,288 ",100%,43,"95,040",228,9
LRBFZME46SD007273,2025,BUICK,ENVISION,"$46,995 ",104%,327,5,47,13
5TDYK3DC3CS524375,2012,TOYOTA,SIENNA,"$9,477 ",100%,14,"173,708",114,1
2C4RC1BG2TR158624,2026,CHRYSLER,PACIFICA,"$40,981 ",92%,53,10,87,0
5XYP5DGC1SG677739,2025,KIA,TELLURIDE,"$55,855 ",107%,57,8,23,0
KNDJ33AU0S7274016,2025,KIA,SOUL,"$25,992 ",101%,69,8,80,1
1FM5K8GTXEGB32658,2014,FORD,EXPLORER,"$6,877 ",100%,23,"167,985",754,24
1V2JE2CA2NC206544,2022,VOLKSWAGEN,ATLAS CROSS SPORT,"$27,877 ",98%,20,"25,628",108,1
4T1DAACK9SU204787,2025,TOYOTA,CAMRY,"$35,818 ",105%,61,8,20,0
5TDAAAA52RS004093,2024,TOYOTA,GRAND HIGHLANDER,"$43,877 ",95%,33,"50,246",384,2
5J6RS5H54RL006999,2024,HONDA,CR-V HYBRID,"$29,997 ",93%,55,"10,644",196,31
3GNAXKEV8NL178093,2022,CHEVROLET,EQUINOX,"$13,990 ",64%,90,"15,984",216,0
JTDACAAJXS3030844,2025,TOYOTA,CROWN SIGNIA,"$46,210 ",92%,11,0,17,0
JTDACACU9T3058093,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$34,549 ",88%,61,8,69,0
7SVAAABA9TX39A213,2026,TOYOTA,SEQUOIA,"$86,788 ",104%,43,0,35,0
5YFS4MCE8TP38A277,2026,TOYOTA,COROLLA,"$26,669 ",97%,43,0,39,0
2T2HZMDA3LC223500,2020,LEXUS,RX,"$35,588 ",107%,17,"68,271",187,1
JTMFB3FV7SD284554,2025,TOYOTA,RAV4 PLUG-IN HYBRID,"$55,174 ",102%,26,0,14,1
7YAMUFS38TY003808,2026,HYUNDAI,IONIQ 9,"$68,340 ",103%,134,0,117,0
3C6LRVDGXRE122237,2024,RAM,PROMASTER CARGO VAN,"$67,360 ",133%,456,320,177,5
1C4RJKBG7S8629074,2025,JEEP,GRAND CHEROKEE L,"$48,330 ",97%,371,198,900,3
1GTUUEE8XPZ136515,2023,GMC,SIERRA 1500,"$38,998 ",100%,102,"114,689",42,4
1C4RJHAG4S8753193,2025,JEEP,GRAND CHEROKEE,"$46,125 ",105%,17,0,12,0
4T1DAACK2TU42F718,2026,TOYOTA,CAMRY,"$38,519 ",110%,11,0,9,0
5NMJCCDE6SH563415,2025,HYUNDAI,TUCSON,"$35,397 ",101%,151,8,127,0
5TDCSKFC3SS214968,2025,TOYOTA,SIENNA,"$55,220 ",102%,43,8,7,1
5NPE34AF2FH128646,2015,HYUNDAI,SONATA,$0 ,0%,6,"93,689",2,0
5NMJBCAE1PH184255,2023,HYUNDAI,TUCSON,"$22,153 ",93%,13,"30,496",5,0
JTMFB3FV9SD283423,2025,TOYOTA,RAV4 PLUG-IN HYBRID,"$55,174 ",102%,26,0,16,1
5TDABAB68SS014380,2025,LEXUS,TX,"$74,885 ",100%,55,6,"1,048",17
JTJHKCFZXS2067729,2025,LEXUS,NX,"$67,439 ",101%,103,6,123,2
JTJWD7CX0S4008382,2025,LEXUS,LX,"$120,304 ",101%,21,7,94,3
4T1DAACK3TU42G327,2026,TOYOTA,CAMRY,"$33,889 ",97%,11,0,9,1
2HKRS4H20TH405099,2026,HONDA,CR-V,"$33,815 ",100%,92,5,712,0
1GCUKJE83TZ115837,2026,CHEVROLET,SILVERADO 1500,"$69,225 ",97%,44,3,19,5
1C4RJJBG8S8676219,2025,JEEP,GRAND CHEROKEE L,"$48,305 ",104%,214,11,255,0
5TDACAB5XTS067412,2026,TOYOTA,GRAND HIGHLANDER,"$51,363 ",92%,43,8,18,0
1C4RJXSJ0RW131734,2024,JEEP,WRANGLER,"$69,988 ",92%,91,"23,310",570,0
4T1DAACK6TU41E575,2026,TOYOTA,CAMRY,"$38,544 ",110%,11,0,8,0
2T3P1RFV9SW40G848,2025,TOYOTA,RAV4,"$34,239 ",94%,26,0,17,0
4T1DAACK6SU198012,2025,TOYOTA,CAMRY,"$31,064 ",91%,75,8,35,0
4T1DAACK1SU650173,2025,TOYOTA,CAMRY,"$40,439 ",118%,61,8,13,1
5XYRLDJC4SG387051,2025,KIA,SORENTO,"$36,685 ",99%,149,8,277,2
5TDADAB59TS38G141,2026,TOYOTA,GRAND HIGHLANDER,"$61,158 ",97%,42,0,37,0
2HGFE2F50NH516230,2022,HONDA,CIVIC SEDAN,"$21,468 ",94%,33,"56,101",316,0
1C4RJHBGXS8701887,2025,JEEP,GRAND CHEROKEE,"$40,665 ",84%,160,11,395,3
JTEVA5BR5S5050129,2025,TOYOTA,4RUNNER,"$54,210 ",100%,61,8,83,1
1C6RJTAG5SL540146,2025,JEEP,GLADIATOR,"$42,348 ",91%,82,32,49,1
2T3W1RFV4SW39F561,2025,TOYOTA,RAV4,"$34,104 ",98%,26,0,17,0
KNDCR3LE1S5271344,2025,KIA,NIRO,"$32,633 ",106%,145,8,214,0
5XYAFFS54TG016148,2026,KIA,EV9,"$66,620 ",109%,24,8,6,0
1C6SRFLP0SN752790,2025,RAM,1500,"$58,413 ",92%,90,8,474,3
1C4RJHBG4SC351931,2025,JEEP,GRAND CHEROKEE,"$45,078 ",93%,31,10,66,0
1C4RJHBG7SC302853,2025,JEEP,GRAND CHEROKEE,"$49,480 ",102%,216,11,218,0
5N1BT3CB9PC809600,2023,NISSAN,ROGUE,"$24,997 ",101%,97,"52,327",921,8
7FARS6H64TE036202,2026,HONDA,CR-V HYBRID,"$40,705 ",102%,13,5,28,0
7YAKMDDC1SY022319,2025,HYUNDAI,IONIQ 5,"$51,457 ",104%,143,17,123,0
5YFB4MDE3TP365003,2026,TOYOTA,COROLLA,"$25,839 ",100%,43,0,0,0
JTJHKCFZ2S2072164,2025,LEXUS,NX,"$66,805 ",100%,40,4,51,1
KMHLS4DGXSU899320,2025,HYUNDAI,ELANTRA,"$26,597 ",102%,329,13,233,0
5TFVC5DB7SX109054,2025,TOYOTA,TUNDRA 4WD,"$78,369 ",99%,136,8,136,0
1FMCU0MN1RUA62242,2024,FORD,ESCAPE,"$22,377 ",96%,31,"25,548",146,1
1HGCY1F25SA059192,2025,HONDA,ACCORD SEDAN,"$29,445 ",101%,28,5,208,0
3GCUDFE84PG270877,2023,CHEVROLET,SILVERADO 1500,"$50,597 ",101%,78,"22,779",54,6
1C4RJKBG0S8756197,2025,JEEP,GRAND CHEROKEE L,"$51,610 ",103%,3,0,6,0
5TDACAB53TS38G722,2026,TOYOTA,GRAND HIGHLANDER,"$46,593 ",83%,42,0,34,1
KM8K6CAB6NU841342,2022,HYUNDAI,KONA,"$18,008 ",92%,23,"39,485",67,0
JTDB4MEE2T3032606,2026,TOYOTA,COROLLA,"$22,907 ",93%,41,8,37,0
1GCUDEE85RZ329609,2024,CHEVROLET,SILVERADO 1500,"$51,994 ",104%,34,"13,738",18,1
1C4RJHAG3PC532690,2023,JEEP,GRAND CHEROKEE,$0 ,0%,1,"32,499",0,0
1C6SRFFP6SN688654,2025,RAM,1500,"$48,342 ",88%,203,12,904,3
KNDPU3DG6T7282149,2026,KIA,SPORTAGE HYBRID,"$32,360 ",103%,50,8,29,1
JTDB4MEEXT3032675,2026,TOYOTA,COROLLA,"$24,229 ",98%,43,8,33,0
5XYAFFS5XTG013416,2026,KIA,EV9,"$65,975 ",108%,26,8,2,4
KM8R7DGE5SU911122,2025,HYUNDAI,PALISADE,"$54,651 ",103%,239,9,237,0
WA1L2AFP4HA062289,2017,AUDI,Q5,"$15,588 ",100%,10,"85,291",9,0
5TFMC5DB0SX111045,2025,TOYOTA,TUNDRA 4WD,"$71,205 ",97%,125,8,112,0
JTDACACU4T3060947,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$42,459 ",108%,11,0,8,0
5TDCSKFC0SS214572,2025,TOYOTA,SIENNA,"$55,220 ",102%,43,8,14,2
1C6SRFJP0SN705519,2025,RAM,1500,"$61,770 ",98%,182,16,431,0
5XYP5DGCXSG641435,2025,KIA,TELLURIDE,"$52,930 ",101%,156,8,359,6
1C4RJKBG4S8743842,2025,JEEP,GRAND CHEROKEE L,"$47,501 ",95%,31,26,33,0
3CZRZ2H56TM726322,2026,HONDA,HR-V,"$30,950 ",100%,26,0,6,0
7SVAAABA7TX074871,2026,TOYOTA,SEQUOIA,"$87,768 ",105%,43,0,7,0
JTDS4MCEXT3526277,2026,TOYOTA,COROLLA,"$26,669 ",99%,26,0,10,0
5FPYK3F45SB016618,2025,HONDA,RIDGELINE,"$46,275 ",102%,274,5,235,0
1GCGTBEN1M1225727,2021,CHEVROLET,COLORADO,"$27,388 ",100%,7,"41,850",10,0
1N4BL4DV5RN386367,2024,NISSAN,ALTIMA,"$19,877 ",98%,20,"57,982",133,0
JTDBCMFE8T3112879,2026,TOYOTA,COROLLA,"$26,079 ",95%,26,0,12,0
5XYP5DGC0SG673181,2025,KIA,TELLURIDE,"$53,381 ",102%,74,8,44,0
1HGCY1F46SA060000,2025,HONDA,ACCORD SEDAN,"$31,710 ",101%,31,5,12,0
2T3P1RFV7SW41J316,2025,TOYOTA,RAV4,"$34,239 ",94%,11,0,8,0
KNDNE5K3XS6504874,2025,KIA,CARNIVAL,"$47,755 ",96%,270,8,254,7
5TDADAB56TS41G373,2026,TOYOTA,GRAND HIGHLANDER,"$61,633 ",98%,11,0,12,0
5TDYRKEC8SS39C477,2025,TOYOTA,SIENNA,"$49,275 ",103%,26,0,21,0
5NMJBCDE7SH590190,2025,HYUNDAI,TUCSON,"$33,465 ",102%,92,9,68,0
5TDDZRBHXNS563687,2022,TOYOTA,HIGHLANDER,"$35,997 ",95%,76,"56,423",532,13
1C4SJSBP4SS518406,2025,JEEP,WAGONEER L,"$76,041 ",99%,60,9,541,1
KM8RKES20TU029990,2026,HYUNDAI,PALISADE,"$51,186 ",96%,51,15,114,0
KNDPVDDG7T7299027,2026,KIA,SPORTAGE HYBRID,"$37,575 ",100%,-,8,0,0
4T1DAACK8TU41G019,2026,TOYOTA,CAMRY,"$39,019 ",112%,11,0,10,0
3GPKHVRJ8SS525201,2025,HONDA,PROLOGUE,"$51,850 ",102%,13,0,458,0
1GCUKJE82TZ120351,2026,CHEVROLET,SILVERADO 1500,"$69,620 ",97%,41,3,22,1
4T1DAACK2TU214546,2026,TOYOTA,CAMRY,"$30,514 ",87%,43,8,3,0
1C4PJXDG8SW647189,2025,JEEP,WRANGLER,"$49,623 ",103%,27,11,45,0
KNDPMCAC3L7736729,2020,KIA,SPORTAGE,"$15,227 ",83%,13,"38,010",26,0
1C4SJVBP8SS533069,2025,JEEP,WAGONEER,"$80,770 ",110%,12,0,12,0
5XYAEFS53TG015155,2026,KIA,EV9,"$75,190 ",100%,-,8,0,0
1GCPKAEK8TZ129385,2026,CHEVROLET,SILVERADO 1500,"$40,970 ",89%,33,5,69,1
5FNYG1H97SB135150,2025,HONDA,PILOT,"$57,215 ",100%,102,5,239,0
7YAMYFS50TY004196,2026,HYUNDAI,IONIQ 9,"$77,455 ",103%,66,0,24,0
4T1DAACK5TU210488,2026,TOYOTA,CAMRY,"$30,514 ",87%,43,8,10,0
JTDBCMFE2T3116054,2026,TOYOTA,COROLLA,"$26,079 ",95%,11,0,4,0
4T1DAACK6TU653118,2026,TOYOTA,CAMRY,"$31,053 ",89%,43,8,8,0
1C4RJKBG2S8634361,2025,JEEP,GRAND CHEROKEE L,"$43,830 ",88%,362,13,326,9
1GCUKDED2SZ321065,2025,CHEVROLET,SILVERADO 1500,"$49,665 ",89%,83,23,94,6
2T2HGMDAXMC069729,2021,LEXUS,RX,"$44,788 ",104%,27,"34,082",289,4
5TDEBRCHXSS40A982,2025,TOYOTA,HIGHLANDER,"$58,348 ",101%,26,0,21,0
1GNSKTKT3MR250031,2021,CHEVROLET,TAHOE,"$52,994 ",103%,64,"64,164",11,2
JTHGZ1B26S5090722,2025,LEXUS,IS,"$53,718 ",103%,4,10,70,1
2T2BAMCAXSC118000,2025,LEXUS,RX,"$69,474 ",115%,32,6,55,1
2T2GGCEZ0TC098374,2026,LEXUS,NX,"$52,440 ",101%,13,10,1,0
JTJHZMDA1M2053011,2021,LEXUS,RX,"$43,788 ",98%,19,"8,649",365,12
2T2HGCEZ0TC095964,2026,LEXUS,NX,"$59,075 ",102%,32,3,52,1
5YFB4MDE6TP362256,2026,TOYOTA,COROLLA,"$25,364 ",102%,43,8,8,0
5NMP2DGL0TH155572,2026,HYUNDAI,SANTA FE,"$39,950 ",98%,38,9,19,0
JTJABABB4SA011287,2025,LEXUS,RZ,"$49,250 ",102%,66,0,142,7
1C4RJHBG9SC351925,2025,JEEP,GRAND CHEROKEE,"$46,660 ",97%,31,0,22,0
JTDACACU1P3010450,2023,TOYOTA,PRIUS PRIME,"$30,988 ",97%,18,"15,497",28,1
JTDB4MEE2T3033139,2026,TOYOTA,COROLLA,"$24,229 ",98%,26,0,18,0
